ID,Time,Status,Assigned vehicle,Current location,Previous legs,Current leg,Next legs,duration
5,1970-01-01 03:19:13.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.ASSIGNED,0,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.READY,0,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:00:00
5,1970-01-01 03:19:13.000,PassengersStatus.ONBOARD,0,None,[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],0 days 00:07:40.300000
5,1970-01-01 03:26:53.300,PassengersStatus.COMPLETE,0,"(361424.4925437287,6699022.396100158)",[],"('(361252.4167013285,6699278.7572178)', '(361424.4925437287,6699022.396100158)')",[],
6,1970-01-01 03:58:00.000,PassengersStatus.RELEASE,None,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
6,1970-01-01 03:58:00.000,PassengersStatus.ASSIGNED,10,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
6,1970-01-01 03:58:00.000,PassengersStatus.READY,10,"(360907.3610987468,6698435.935810202)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:19:52.300000
6,1970-01-01 04:17:52.300,PassengersStatus.ONBOARD,10,None,[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:21:06.200000
8,1970-01-01 04:20:08.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.ASSIGNED,1,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.READY,1,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:00:00
8,1970-01-01 04:20:08.000,PassengersStatus.ONBOARD,1,None,[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],0 days 00:18:49.700000
9,1970-01-01 04:33:17.000,PassengersStatus.RELEASE,None,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
9,1970-01-01 04:33:17.000,PassengersStatus.ASSIGNED,11,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
9,1970-01-01 04:33:17.000,PassengersStatus.READY,11,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:18:49.700000
8,1970-01-01 04:38:57.700,PassengersStatus.COMPLETE,1,"(361430.0232549741,6698569.444267439)",[],"('(361252.4167013285,6699278.7572178)', '(361430.0232549741,6698569.444267439)')",[],
6,1970-01-01 04:38:58.500,PassengersStatus.COMPLETE,10,"(361252.4167013285,6699278.7572178)",[],"('(360907.3610987468,6698435.935810202)', '(361252.4167013285,6699278.7572178)')",[],
9,1970-01-01 04:52:06.700,PassengersStatus.ONBOARD,11,None,[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:20:05.300000
13,1970-01-01 04:54:15.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.ASSIGNED,12,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.READY,12,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:00:00
13,1970-01-01 04:54:15.000,PassengersStatus.ONBOARD,12,None,[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],0 days 00:59:49.800000
9,1970-01-01 05:12:12.000,PassengersStatus.COMPLETE,11,"(361252.4167013285,6699278.7572178)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],
13,1970-01-01 05:54:04.800,PassengersStatus.COMPLETE,12,"(360769.2168468278,6696421.43833362)",[],"('(361252.4167013285,6699278.7572178)', '(360769.2168468278,6696421.43833362)')",[],
15,1970-01-01 05:55:06.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.ASSIGNED,13,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.READY,13,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:00:00
15,1970-01-01 05:55:06.000,PassengersStatus.ONBOARD,13,None,[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],0 days 00:23:08
15,1970-01-01 06:18:14.000,PassengersStatus.COMPLETE,13,"(360840.3006132993,6698733.628466031)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3006132993,6698733.628466031)')",[],
1,1970-01-01 06:32:20.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.ASSIGNED,14,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.READY,14,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
1,1970-01-01 06:32:20.000,PassengersStatus.ONBOARD,14,None,[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:14:21.800000
11,1970-01-01 06:42:17.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
11,1970-01-01 06:42:17.000,PassengersStatus.ASSIGNED,15,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
11,1970-01-01 06:42:17.000,PassengersStatus.READY,15,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:00:00
11,1970-01-01 06:42:17.000,PassengersStatus.ONBOARD,15,None,[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],0 days 00:14:21.800000
1,1970-01-01 06:46:41.800,PassengersStatus.COMPLETE,14,"(361109.2742714606,6698687.684381334)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],
11,1970-01-01 06:56:38.800,PassengersStatus.COMPLETE,15,"(361109.2742714606,6698687.684381334)",[],"('(361252.4167013285,6699278.7572178)', '(361109.2742714606,6698687.684381334)')",[],
12,1970-01-01 07:00:26.000,PassengersStatus.RELEASE,None,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
12,1970-01-01 07:00:26.000,PassengersStatus.ASSIGNED,16,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
12,1970-01-01 07:00:26.000,PassengersStatus.READY,16,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:14:21.800000
12,1970-01-01 07:14:47.800,PassengersStatus.ONBOARD,16,None,[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:15:13.300000
12,1970-01-01 07:30:01.100,PassengersStatus.COMPLETE,16,"(361252.4167013285,6699278.7572178)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],
14,1970-01-01 07:43:36.000,PassengersStatus.RELEASE,None,"(360769.2168468278,6696421.43833362)",[],"('(360769.2168468278,6696421.43833362)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
14,1970-01-01 07:43:36.000,PassengersStatus.ASSIGNED,17,"(360769.2168468278,6696421.43833362)",[],"('(360769.2168468278,6696421.43833362)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
14,1970-01-01 07:43:36.000,PassengersStatus.READY,17,"(360769.2168468278,6696421.43833362)",[],"('(360769.2168468278,6696421.43833362)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:59:49.800000
16,1970-01-01 08:25:57.000,PassengersStatus.RELEASE,None,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
16,1970-01-01 08:25:57.000,PassengersStatus.ASSIGNED,18,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
16,1970-01-01 08:25:57.000,PassengersStatus.READY,18,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:14:21.800000
16,1970-01-01 08:40:18.800,PassengersStatus.ONBOARD,18,None,[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:15:13.300000
14,1970-01-01 08:43:25.800,PassengersStatus.ONBOARD,17,None,[],"('(360769.2168468278,6696421.43833362)', '(361252.4167013285,6699278.7572178)')",[],0 days 01:05:00
16,1970-01-01 08:55:32.100,PassengersStatus.COMPLETE,18,"(361252.4167013285,6699278.7572178)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],
14,1970-01-01 09:48:25.800,PassengersStatus.COMPLETE,17,"(361252.4167013285,6699278.7572178)",[],"('(360769.2168468278,6696421.43833362)', '(361252.4167013285,6699278.7572178)')",[],
10,1970-01-01 09:49:59.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3615698509,6698028.417233491)')",[],0 days 00:00:00
10,1970-01-01 09:49:59.000,PassengersStatus.ASSIGNED,19,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3615698509,6698028.417233491)')",[],0 days 00:00:00
10,1970-01-01 09:49:59.000,PassengersStatus.READY,19,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3615698509,6698028.417233491)')",[],0 days 00:00:00
10,1970-01-01 09:49:59.000,PassengersStatus.ONBOARD,19,None,[],"('(361252.4167013285,6699278.7572178)', '(360840.3615698509,6698028.417233491)')",[],0 days 00:29:28.300000
10,1970-01-01 10:19:27.300,PassengersStatus.COMPLETE,19,"(360840.3615698509,6698028.417233491)",[],"('(361252.4167013285,6699278.7572178)', '(360840.3615698509,6698028.417233491)')",[],
2,1970-01-01 12:31:38.000,PassengersStatus.RELEASE,None,"(360967.0285932711,6698325.740272101)",[],"('(360967.0285932711,6698325.740272101)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
2,1970-01-01 12:31:38.000,PassengersStatus.ASSIGNED,2,"(360967.0285932711,6698325.740272101)",[],"('(360967.0285932711,6698325.740272101)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
2,1970-01-01 12:31:38.000,PassengersStatus.READY,2,"(360967.0285932711,6698325.740272101)",[],"('(360967.0285932711,6698325.740272101)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:22:11.700000
2,1970-01-01 12:53:49.700,PassengersStatus.ONBOARD,2,None,[],"('(360967.0285932711,6698325.740272101)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:23:13.600000
3,1970-01-01 13:14:08.000,PassengersStatus.RELEASE,None,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
3,1970-01-01 13:14:08.000,PassengersStatus.ASSIGNED,3,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
3,1970-01-01 13:14:08.000,PassengersStatus.READY,3,"(361430.0232549741,6698569.444267439)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:18:49.700000
4,1970-01-01 13:16:15.000,PassengersStatus.RELEASE,None,"(360711.8134391004,6698360.5029255375)",[],"('(360711.8134391004,6698360.5029255375)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
4,1970-01-01 13:16:15.000,PassengersStatus.ASSIGNED,4,"(360711.8134391004,6698360.5029255375)",[],"('(360711.8134391004,6698360.5029255375)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
4,1970-01-01 13:16:15.000,PassengersStatus.READY,4,"(360711.8134391004,6698360.5029255375)",[],"('(360711.8134391004,6698360.5029255375)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:24:13.600000
2,1970-01-01 13:17:03.300,PassengersStatus.COMPLETE,2,"(361252.4167013285,6699278.7572178)",[],"('(360967.0285932711,6698325.740272101)', '(361252.4167013285,6699278.7572178)')",[],
17,1970-01-01 13:18:47.000,PassengersStatus.RELEASE,None,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
17,1970-01-01 13:18:47.000,PassengersStatus.ASSIGNED,5,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:00:00
17,1970-01-01 13:18:47.000,PassengersStatus.READY,5,"(361109.2742714606,6698687.684381334)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:14:21.800000
3,1970-01-01 13:32:57.700,PassengersStatus.ONBOARD,3,None,[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:20:05.300000
17,1970-01-01 13:33:08.800,PassengersStatus.ONBOARD,5,None,[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:15:13.300000
4,1970-01-01 13:40:28.600,PassengersStatus.ONBOARD,4,None,[],"('(360711.8134391004,6698360.5029255375)', '(361252.4167013285,6699278.7572178)')",[],0 days 00:25:17.600000
17,1970-01-01 13:48:22.100,PassengersStatus.COMPLETE,5,"(361252.4167013285,6699278.7572178)",[],"('(361109.2742714606,6698687.684381334)', '(361252.4167013285,6699278.7572178)')",[],
3,1970-01-01 13:53:03.000,PassengersStatus.COMPLETE,3,"(361252.4167013285,6699278.7572178)",[],"('(361430.0232549741,6698569.444267439)', '(361252.4167013285,6699278.7572178)')",[],
4,1970-01-01 14:05:46.200,PassengersStatus.COMPLETE,4,"(361252.4167013285,6699278.7572178)",[],"('(360711.8134391004,6698360.5029255375)', '(361252.4167013285,6699278.7572178)')",[],
7,1970-01-01 17:25:34.000,PassengersStatus.RELEASE,None,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(362336.04904328176,6698683.726116959)')",[],0 days 00:00:00
7,1970-01-01 17:25:34.000,PassengersStatus.ASSIGNED,6,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(362336.04904328176,6698683.726116959)')",[],0 days 00:00:00
7,1970-01-01 17:25:34.000,PassengersStatus.READY,6,"(361252.4167013285,6699278.7572178)",[],"('(361252.4167013285,6699278.7572178)', '(362336.04904328176,6698683.726116959)')",[],0 days 00:00:00
7,1970-01-01 17:25:34.000,PassengersStatus.ONBOARD,6,None,[],"('(361252.4167013285,6699278.7572178)', '(362336.04904328176,6698683.726116959)')",[],0 days 00:30:37.800000
7,1970-01-01 17:56:11.800,PassengersStatus.COMPLETE,6,"(362336.04904328176,6698683.726116959)",[],"('(361252.4167013285,6699278.7572178)', '(362336.04904328176,6698683.726116959)')",[],
